FP1	FP2
323.631	336.31
323.631	336.31
323.631	336.31
323.631	336.31
323.631	336.31
323.631	336.31
323.631	336.31
323.631	336.31
323.631	336.31
323.631	336.31
323.631	339.112
323.631	336.31
326.421	336.31
326.421	336.31
326.421	336.31
323.631	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	339.112
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
326.421	336.31
329.211	336.31
326.421	336.31
326.421	336.31
329.211	336.31
326.421	336.31
329.211	336.31
326.421	336.31
329.211	336.31
326.421	336.31
326.421	336.31
329.211	336.31
329.211	336.31
329.211	336.31
329.211	336.31
329.211	336.31
329.211	336.31
329.211	336.31
329.211	336.31
329.211	336.31
329.211	336.31
329.211	336.31
329.211	336.31
329.211	336.31
332.001	336.31
329.211	336.31
329.211	336.31
329.211	336.31
329.211	336.31
329.211	336.31
332.001	336.31
332.001	333.507
332.001	333.507
332.001	333.507
332.001	336.31
332.001	336.31
332.001	336.31
332.001	336.31
332.001	336.31
334.791	336.31
334.791	333.507
334.791	336.31
334.791	333.507
334.791	333.507
334.791	333.507
334.791	333.507
334.791	333.507
334.791	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
340.371	333.507
337.581	333.507
340.371	333.507
340.371	333.507
337.581	333.507
340.371	333.507
340.371	333.507
340.371	333.507
340.371	333.507
340.371	330.704
340.371	333.507
340.371	333.507
340.371	333.507
340.371	333.507
340.371	330.704
340.371	333.507
340.371	333.507
340.371	333.507
340.371	333.507
340.371	333.507
337.581	333.507
340.371	330.704
340.371	333.507
340.371	333.507
337.581	333.507
337.581	333.507
340.371	333.507
340.371	333.507
340.371	333.507
340.371	333.507
340.371	333.507
340.371	333.507
340.371	333.507
337.581	333.507
340.371	333.507
340.371	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
337.581	333.507
